folds  boost       tp            fp          fn            precision           recall            f1
5        5        754.0        162.0        0.0        0.8231441048034934        1.0        0.9029940119760479
5        5        748.0        145.0        0.0        0.8376259798432251        1.0        0.9116392443631932
5        5        753.0        179.0        0.0        0.8079399141630901        1.0        0.8937685459940654
5        5        772.0        179.0        0.0        0.8117770767613038        1.0        0.8961114335461404
5        5        773.0        175.0        0.0        0.8154008438818565        1.0        0.8983149331783845

5        10        677.0        239.0        940.0        0.7390829694323144        0.4186765615337044        0.5345440189498618
5        10        690.0        203.0        963.0        0.7726763717805151        0.41742286751361163        0.5420267085624509
5        10        932.0        0.0          924.0            1.0        0.5021551724137931        0.6685796269727403
5        10        951.0        0.0        905.0            1.0        0.5123922413793104        0.6775917349483435
5        10        726.0        222.0        908.0        0.7658227848101266        0.44430844553243576        0.5623547637490317

5        20        723.0        193.0        0.0        0.7893013100436681        1.0        0.8822452715070165
5        20        748.0        145.0        0.0        0.8376259798432251        1.0        0.9116392443631932
5        20        355.0        577.0        924.0        0.38090128755364805        0.27756059421422985        0.3211216644052465
5        20        716.0        235.0        905.0        0.7528916929547844        0.4417026526835287        0.5567651632970451
5        20        948.0        0.0        908.0        1.0        0.5107758620689655        0.6761768901569186

10        5        375.0        90.0        0.0        0.8064516129032258        1.0        0.8928571428571428
10        5        366.0        85.0        0.0        0.811529933481153        1.0        0.8959608323133416
10        5        366.0        79.0        0.0        0.8224719101123595        1.0        0.902589395807645
10        5        382.0        66.0        0.0        0.8526785714285714        1.0        0.9204819277108433
10        5        381.0        80.0        0.0        0.8264642082429501        1.0        0.9049881235154393
10        5        388.0        83.0        0.0        0.8237791932059448        1.0        0.9033760186263096
10        5        398.0        82.0        0.0        0.8291666666666667        1.0        0.9066059225512529
10        5        374.0        97.0        0.0        0.7940552016985138        1.0        0.885207100591716
10        5        397.0        84.0        0.0        0.8253638253638254        1.0        0.9043280182232346
10        5        376.0        91.0        0.0        0.8051391862955032        1.0        0.8920521945432976

20        5        191.0        52.0        0.0        0.7860082304526749        1.0        0.880184331797235
20        5        185.0        37.0        0.0        0.8333333333333334        1.0        0.9090909090909091
20        5        179.0        40.0        0.0        0.817351598173516        1.0        0.8994974874371858
20        5        173.0        59.0        0.0        0.7456896551724138        1.0        0.8543209876543211
20        5        179.0        39.0        0.0        0.8211009174311926        1.0        0.9017632241813601
20        5        187.0        40.0        0.0        0.8237885462555066        1.0        0.9033816425120773
20        5        192.0        36.0        0.0        0.8421052631578947        1.0        0.9142857142857143
20        5        190.0        30.0        0.0        0.8636363636363636        1.0        0.9268292682926829
20        5        198.0        31.0        0.0        0.8646288209606987        1.0        0.927400468384075
20        5        182.0        50.0        0.0        0.7844827586206896        1.0        0.8792270531400966
20        5        193.0        42.0        0.0        0.8212765957446808        1.0        0.9018691588785047
20        5        195.0        41.0        0.0        0.826271186440678        1.0        0.9048723897911832
20        5        197.0        44.0        0.0        0.8174273858921162        1.0        0.8995433789954337
20        5        201.0        38.0        0.0        0.8410041841004184        1.0        0.9136363636363637
20        5        187.0        40.0        0.0        0.8237885462555066        1.0        0.9033816425120773
20        5        199.0        45.0        0.0        0.8155737704918032        1.0        0.8984198645598194
20        5        191.0        43.0        0.0        0.8162393162393162        1.0        0.8988235294117646
20        5        206.0        41.0        0.0        0.8340080971659919        1.0        0.9094922737306844
20        5        191.0        46.0        0.0        0.8059071729957806        1.0        0.8925233644859814
20        5        177.0        53.0        0.0        0.7695652173913043        1.0        0.8697788697788699

5        1        754.0        162.0        0.0        0.8231441048034934        1.0        0.9029940119760479
5        1        748.0        145.0        0.0        0.8376259798432251        1.0        0.9116392443631932
5        1        767.0        165.0        0.0        0.822961373390558        1.0        0.9028840494408475
5        1        801.0        150.0        0.0        0.8422712933753943        1.0        0.9143835616438356
5        1        783.0        165.0        0.0        0.8259493670886076        1.0        0.9046793760831889

10        30        308.0        157.0        123.0        0.6623655913978495        0.7146171693735499        0.6875
10        30        224.0        227.0        477.0        0.49667405764966743        0.3195435092724679        0.38888888888888884
10        30        194.0        251.0        483.0        0.43595505617977526        0.2865583456425406        0.3458110516934046
10        30        448.0        0.0        480.0        1.0        0.4827586206896552        0.6511627906976745
10        30        201.0        260.0        467.0        0.4360086767895879        0.3008982035928144        0.35606731620903453
10        30        228.0        243.0        457.0        0.4840764331210191        0.33284671532846716        0.3944636678200692
10        30        227.0        253.0        273.0        0.47291666666666665        0.454        0.463265306122449
10        30        199.0        272.0        457.0        0.42250530785562634        0.30335365853658536        0.3531499556344277
10        30        192.0        289.0        277.0        0.3991683991683992        0.4093816631130064        0.4042105263157895
10        30        127.0        340.0        0.0        0.27194860813704497        1.0        0.42760942760942755


5        5        0.0        928.0        0.0        0.0        NaN        NaN
5        5        928.0        0.0        0.0        1.0        1.0        1.0
5        5        884.0        44.0        0.0        0.9525862068965517        1.0        0.9757174392935983
5        5        928.0        0.0        0.0        1.0        1.0        1.0
5        5        806.0        122.0        0.0        0.8685344827586207        1.0        0.9296424452133794

5        10        592.0        336.0        328.0        0.6379310344827587        0.6434782608695652        0.6406926406926406
5        10        605.0        323.0        0.0        0.6519396551724138        1.0        0.7893020221787346
5        10        396.0        532.0        928.0        0.4267241379310345        0.2990936555891239        0.35168738898756663
5        10        518.0        410.0        0.0        0.5581896551724138        1.0        0.7164591977869986
5        10        742.0        186.0        928.0        0.7995689655172413        0.444311377245509        0.5712086220169361

5        20        478.0        450.0        414.0        0.5150862068965517        0.5358744394618834        0.5252747252747252
